piojo,pelo,pulga,v,R,R
enchufe,puente,agua,n,N,N
cucaracha,sucio,red,v,R,N
teléfono,altura,tormenta,n,N,N
flor,ley,abogado,v,N,N
teclado,piedra,geología,n,N,N
hongo,humedad,pie,v,R,R
foca,marino,vuelo,v,R,N
roca,sonar,comunicar,n,N,N
juez,navidad,bosque,v,N,N
pino,pueblo,votar,v,N,N
peine,nudo,hogar,n,R,N
abeja,miel,hojas,v,R,N
presidente,verde,cortar,v,N,N
cóndor,buitre,plaga,v,R,N
pez,mar,picadura,v,R,N
mascara,carnaval,teatro,n,R,R
minero,oro,pico,v,R,R
lluvia,viento,paraguas,n,R,R
casa,puerta,tapa,n,R,N
abuelo,rosa,perfume,v,N,N
palo,perro,peluquería,n,R,N
río,texto,tipeo,n,N,N
nube,eléctrico,universal,n,N,N
proyector,imagen,clase,n,R,R
bióloga,laboratorio,naturaleza,v,R,R
reloj,tiempo,largo,n,R,N
enredadera,pared,podar,v,R,R
dinero,dolar,papel,n,R,R
caja,guardar,mudanza,n,R,R
remera,algodón,tela,n,R,R
árbol,grande,pelota,v,R,N
lampara,luz,cucu,n,R,N
botella,liquido,habitación,n,R,N
pasto,nieto,arruga,v,N,N
docente,pizarra,enseñar,v,R,R
